"species";"lon";"lat";"municipality";"adm1"
"3";"Euterpe edulis";-53.043755;-25.364014;"São Jorge d' Oeste";"Paraná"
"6";"Euterpe edulis";-50.148611;-29.650278;"Maquiné";"Rs"
"7";"Euterpe edulis";-48.739722;-25.261389;"Antonina";"Paraná"
"8";"Euterpe edulis";-49.865;-29.376944;"Dom Pedro de Alcântara";"Rs"
"9";"Euterpe edulis";-48.485;-27.616667;"Florianópolis";"Sc"
"10";"Euterpe edulis";-43.418333;-22.574722;"Nova Iguaçu";"Rio de Janeiro"
"11";"Euterpe edulis";-40.31509;-19.58049;"Santa Teresa";"Espírito Santo"
"12";"Euterpe edulis";-40.31509;-19.58049;"Santa Teresa";"Espírito Santo"
"13";"Euterpe edulis";-40.31509;-19.58049;"Santa Teresa";"Espírito Santo"
"14";"Euterpe edulis";-40.31509;-19.58049;"Santa Teresa";"Espírito Santo"
"15";"Euterpe edulis";-40.423266;-20.598417;"Guarapari";"Espírito Santo"
"16";"Euterpe edulis";-41.308;-20.19579;"Domingos Martins";"Espírito Santo"
"17";"Euterpe edulis";-49.86;-29.07;"Jacinto Machado";"Santa Catarina"
"18";"Euterpe edulis";-48.109611;-24.55275;"Eldorado";"Sp"
"20";"Euterpe edulis";-50.212736;-29.976883;"Osório";"Rio Grande do Sul"
"21";"Euterpe edulis";-54.413194;-25.603389;"Foz do Iguaçu";"Pr"
"22";"Euterpe edulis";-53.87175;-25.215667;"Céu Azul";"Pr"
"23";"Euterpe edulis";-49.076667;-26.118333;"Itapoá";"Santa Catarina"
"25";"Euterpe edulis";-36.730597;-9.412631;"Quebrangulo";"Alagoas"
"26";"Euterpe edulis";-36.435015;-9.244547;"Quebrangulo";"Alagoas"
"27";"Euterpe edulis";-36.435015;-9.244547;"Quebrangulo";"Alagoas"
"29";"Euterpe edulis";-53.955556;-25.306944;"Matelândia";"Es"
"30";"Euterpe edulis";-48.385083;-25.177722;"Guaraqueçaba";"Pr"
"31";"Euterpe edulis";-51.970028;-23.871389;"Fênix";"Pr"
"32";"Euterpe edulis";-36.435914;-9.243979;"Quebrangulo";"Alagoas"
"33";"Euterpe edulis";-51.982417;-23.882806;"Fênix";"Pr"
"36";"Euterpe edulis";-47.380012;-24.038166;"Tapiraí";"São Paulo"
"37";"Euterpe edulis";-37.966667;-12.166667;"Entre Rios";"Bahia"
"38";"Euterpe edulis";-37.966667;-12.166667;"Entre Rios";"Bahia"
"39";"Euterpe edulis";-39.719722;-13.586944;"Wenceslau Guimarães";"Bahia"
"41";"Euterpe edulis";-49.364444;-26.926667;"Rodeio";"Santa Catarina"
"42";"Euterpe edulis";-39.637139;-13.717056;"Itamari";"Bahia"
"43";"Euterpe edulis";-39.637139;-13.717056;"Itamari";"Bahia"
"46";"Euterpe edulis";-50.572694;-23.1495;"Cornélio Procópio";"Paraná"
"47";"Euterpe edulis";-39.054722;-15.159722;"Una";"Bahia"
"48";"Euterpe edulis";-43.000278;-22.771667;"Teresópolis";"Rio de Janeiro"
"49";"Euterpe edulis";-43.000278;-22.771667;"Teresópolis";"Rio de Janeiro"
"50";"Euterpe edulis";-40.162444;-18.362722;"Pinheiros";"Espírito Santo"
"51";"Euterpe edulis";-46.516667;-22.583333;"Socorro";"São Paulo"
"52";"Euterpe edulis";-39.628333;-13.715278;"Itamari";"Bahia"
"53";"Euterpe edulis";-41.838789;-20.643187;"Espera Feliz";"Minas Gerais"
"54";"Euterpe edulis";-39.635833;-13.718778;"Itamari";"Bahia"
"55";"Euterpe edulis";-39.635833;-13.718778;"Itamari";"Bahia"
"56";"Euterpe edulis";-39.635583;-13.725611;"Itamari";"Bahia"
"57";"Euterpe edulis";-39.635583;-13.725611;"Itamari";"Bahia"
"58";"Euterpe edulis";-41.473056;-20.364722;"Iúna";"Espírito Santo"
"59";"Euterpe edulis";-39.7322;-18.5933;"Conceição da Barra";"Espírito Santo"
"61";"Euterpe edulis";-39.358333;-17.774444;"Caravelas";"Bahia"
"73";"Euterpe edulis";-49.413056;-28.526389;"Siderópolis";"Santa Catarina"
"92";"Euterpe edulis";-48.492222;-22.881111;"Botucatu";"São Paulo"
"94";"Euterpe edulis";-55.038528;-23.961778;"Sete Quedas";"Mato Grosso do Sul"
"95";"Euterpe edulis";-39.034167;-14.333333;"Uruçuca";"Bahia"
"96";"Euterpe edulis";-49.231389;-27.181389;"Presidente Nereu";"Santa Catarina"
"97";"Euterpe edulis";-48.960833;-28.080556;"São Bonifácio";"Santa Catarina"
"98";"Euterpe edulis";-49.049722;-28.169444;"Rio Fortuna";"Santa Catarina"
"99";"Euterpe edulis";-39.133333;-16.333333;"Porto Seguro";"Bahia"
"100";"Euterpe edulis";-48.871389;-27.718889;"Águas Mornas";"Santa Catarina"
"101";"Euterpe edulis";-48.869722;-27.99;"São Bonifácio";"Santa Catarina"
"102";"Euterpe edulis";-48.869722;-27.99;"São Bonifácio";"Santa Catarina"
"103";"Euterpe edulis";-52.725278;-23.094278;"Tuneiras do Oeste";"Pr"
"104";"Euterpe edulis";-52.725278;-23.094278;"Tuneiras do Oeste";"Paraná"
"105";"Euterpe edulis";-48.916111;-25.439444;"Morretes";"Paraná"
"108";"Euterpe edulis";-34.997389;-7.840933;"Igarassu";"Pernambuco"
"109";"Euterpe edulis";-49.68;-28.799722;"Morro Grande";"Santa Catarina"
"111";"Euterpe edulis";-46.759722;-23.454444;"Sao Paulo";"Sp"
"113";"Euterpe edulis";-39.725278;-19.351667;"Linhares";"Espírito Santo"
"114";"Euterpe edulis";-39.711111;-14.167222;"Itagibá";"Bahia"
"115";"Euterpe edulis";-39.7075;-14.181389;"Itagibá";"Bahia"
"117";"Euterpe edulis";-48.548111;-27.172639;"Bombinhas";"Sc"
"118";"Euterpe edulis";-40.525;-20.267778;"Cariacica";"Espírito Santo"
"119";"Euterpe edulis";-40.525;-20.267778;"Cariacica";"Espírito Santo"
"122";"Euterpe edulis";-52.320472;-24.111611;"Campo Mourão";"Pr"
"123";"Euterpe edulis";-51.233333;-23.383333;"Londrina";"Paraná"
